Gene,21D71V,71D21V,HD,Functional Description
ACVR2B,DOWN,DOWN,NS,"Activin signaling receptor; initiates the SMAD cascade; controls cell differentiation, survival, and multi-organ development."
ADGRB3,DOWN,DOWN,NS,"Adhesion GPCR; regulates cellular organization in the nervous system; controls synapse formation, brain angiogenesis, and cytoskeletal dynamics."
ADGRL1,DOWN,DOWN,NS,"Adhesion receptor; organizes neuronal connections; controls synapse formation, maturation, and neurotransmitter release to support functional brain networks."
ALCAM,DOWN,DOWN,NS,"Adhesion protein; mediates cell-cell contacts; controls migration and tissue organization to support nervous and immune system development."
BMPR2,DOWN,DOWN,NS,"BMP signaling receptor; activates SMAD and MAPK pathways; essential for mesenchymal cell differentiation, vascular development, and overall organizational patterning."
CD46,DOWN,DOWN,NS,"Immune regulator; protects cells from complement system cytotoxicity; influences T lymphocyte differentiation and immune tolerance."
CLSTN1,DOWN,DOWN,NS,"Transport protein and synapse organizer; manages axonal vesicle transport and stabilizes synapses; regulates APP metabolism to influence neuronal network development."
DKK2,DOWN,DOWN,NS,"Wnt pathway modulator; regulates proliferation and differentiation; directs embryonic development and body axis determination."
EFNB2,DOWN,DOWN,NS,"Cell surface ligand; enables bidirectional communication; controls migration and steers heart, vascular, and neuronal architecture development."
EPHA3,DOWN,DOWN,NS,"Receptor tyrosine kinase; coordinates cell mapping; controls migration and adhesion to organize nervous system and vascular development."
EPHA5,DOWN,DOWN,NS,"Axonal guidance receptor; organizes neuronal networks during development; regulates synaptic plasticity and insulin-related metabolic functions."
F2R,DOWN,DOWN,NS,"Thrombin-activated receptor (PAR-1); triggers calcium signaling; integrates coagulation with inflammation and regulates neuronal and glial functions."
FLRT3,DOWN,DOWN,NS,"Transmembrane protein; regulates FGF signaling and cell adhesion; mediates morphogenesis and axonal guidance via UNC5D interactions."
FZD3,DOWN,DOWN,NS,"Wnt pathway receptor; activates the beta-catenin cascade; directs neuronal migration, axonal guidance, and cell polarization in the brain and spinal cord."
GABRG2,DOWN,DOWN,NS,"GABA-A receptor subunit; mediates neuronal inhibition; regulates inhibitory synapse development and stabilizes neuronal networks."
GRIA1,DOWN,DOWN,NS,"AMPA receptor subunit; enables fast excitatory transmission; controls synaptic plasticity, learning, and glutamatergic network maturation."
GRIA2,DOWN,DOWN,NS,"AMPA receptor subunit; performs homeostatic functions; protects neurons from calcium overload and stabilizes neuronal network development."
GRIN2D,DOWN,DOWN,NS,"NMDA receptor subunit; modulates neuronal plasticity and development; controls calcium influx to shape network physiological properties."
GRM7,DOWN,DOWN,NS,"Metabotropic glutamate receptor; acts via G-proteins as an inhibitory mediator; controls signal intensity, neuronal excitability, and axonal development."
IGF1R,DOWN,DOWN,NS,"Growth and survival regulator; activates cell division and inhibits apoptosis; regulates metabolism and protein synthesis."
LRRTM2,DOWN,DOWN,NS,"Glutamatergic synapse coordinator; interacts with neurexins; regulates AMPA receptor signal strength and supports structural brain plasticity."
NCAM1,DOWN,DOWN,NS,"Adhesion protein; builds neuronal networks; directs brain development and plasticity while modulating immune system activity."
NECTIN3,DOWN,DOWN,NS,"Adhesion protein; organizes cell-cell contacts; directs neuronal/synaptic development and participates in eye and epithelial morphogenesis."
NRXN2,DOWN,DOWN,NS,"Presynaptyic organizer and anchor; links neurons with postsynaptic proteins; regulates neurotransmitter release and connection diversity."
NTRK3,DOWN,DOWN,NS,"Neurotrophic receptor (TrkC); promotes growth and survival; triggers differentiation pathways and protects neurons from death."
PDGFD,DOWN,DOWN,NS,"Growth factor; stimulates cell division and migration; supports vascular formation and regulates tissue regeneration and remodeling."
PLXNA1,DOWN,DOWN,NS,"Navigation receptor for semaphorins (SEMA3/SEMA6); determines axonal growth direction; organizes cytoskeletal remodeling and neural ""wiring""."
PTN,DOWN,DOWN,NS,"Pleiotropic growth factor; activates MAPK and PI3K-AKT pathways; stimulates proliferation and migration to influence plasticity and angiogenesis."
PTPRF,DOWN,DOWN,NS,"Receptor tyrosine phosphatase; regulates adherens junctions; modulates beta-catenin signaling to influence epithelial tissue organization."
PTPRS,DOWN,DOWN,NS,"Receptor phosphatase; controls axonal growth and guidance; regulates neurogenesis, nerve regeneration, and neurotrophic signaling."
PTPRZ1,DOWN,DOWN,NS,"Signaling phosphatase; active in the CNS; controls oligodendrocyte precursor differentiation and regulates myelination."
RORB,DOWN,DOWN,NS,"Nuclear transcription factor; essential for retinal and cortical development; regulates photoreceptor differentiation and circadian rhythm control."
TGFBR1,DOWN,DOWN,NS,"TGF-beta serine/threonine kinase receptor; activates SMAD proteins; directs differentiation, EMT processes, and vascular development."
CD47,DOWN,NS,NS,"Membrane receptor; regulates cell survival and immune ""don't eat me"" signaling; modulates synaptic plasticity, memory, and inhibits angiogenesis."
CLSTN2,DOWN,NS,NS,"Postsynaptic adhesion molecule; supports glutamatergic synapses; binds calcium ions to stabilize nerve connections and learning processes."
EPHB2,DOWN,NS,NS,"Receptor tyrosine kinase; regulates contact signaling; essential for axonal guidance, dendritic spine development, and excitatory synapse formation."
EZR,DOWN,NS,NS,"Cytoskeletal protein; conditions cell polarity and epithelial shape; regulates adhesion, migration, and actin reorganization during cell movement."
FGFR1,DOWN,NS,NS,"FGF receptor tyrosine kinase; stimulates proliferation and migration via MAPK and PI3K/AKT; essential for GnRH neuron development."
FGFR2,DOWN,NS,NS,"FGF receptor; regulates organogenesis and embryonic development; balances proliferation and apoptosis in skin, bone, and epithelia."
FTH1,DOWN,NS,NS,"Ferritin heavy subunit; manages iron detoxification and storage; protects against oxidative stress in developing organs."
GRIK1,DOWN,NS,NS,"Ionotropic kainate receptor; regulates synaptic transmission and neurotransmitter release; supports plasticity in the hippocampus and cortex."
LAMC1,DOWN,NS,NS,"Laminin component; essential for basement membrane formation; mediates matrix adhesion to regulate tissue organization during development."
LGR4,DOWN,NS,NS,"Wnt-activating receptor (via R-spondins); regulates GnRH neuron development and stem cell proliferation; supports bone mineralization."
NRG1,DOWN,NS,NS,"Growth factor; activates ERBB receptors; essential for neuromuscular junction formation, neuronal maturation, and Schwann cell proliferation."
NRP1,DOWN,NS,NS,"VEGF and semaphorin receptor; regulates angiogenesis and motor neuron axonal guidance; directs cell migration during embryonic development."
PODXL2,DOWN,NS,NS,"Glycoprotein vascular selectin ligand; controls adhesion and the initial stages of immune cell migration into tissues."
PTGES3,DOWN,NS,NS,"Enzym and HSP90 co-chaperone; synthesizes prostaglandin E2; modulates hormone-dependent gene expression in neurons and epithelia."
RYK,DOWN,NS,NS,"Wnt pathway receptor tyrosine kinase; guides axonal growth and neuronal differentiation; essential for corpus callosum formation."
SEMA4C,DOWN,NS,NS,"Semaphorin receptor; activates RHOA and ERBB2 pathways; participates in brain development, axonal guidance, and muscle tissue differentiation."
SEMA4D,DOWN,NS,NS,"Development regulator receptor; directs neuronal projections and inhibitory (GABAergic) synapses; stimulates cerebellar granule cell migration."
SEMA6D,DOWN,NS,NS,"Transmembrane semaphorin; acts as a chemorepulsive factor; induces growth cone collapse and neural connection remodeling."
TENM1,DOWN,NS,NS,"Signaling messenger; regulates neural connection development; modulates dendritic spine density and activates MAPK/ERK signaling."
TGFBR3,DOWN,NS,NS,"Type III receptor; modulates TGF-beta and BMP signaling; promotes epithelial adhesion and participates in EMT via RHOA pathways."
THRB,DOWN,NS,NS,"Nuclear thyroid hormone receptor (T3/T4); mediates biological effects essential for tissue differentiation and developmental gene regulation."
WNT2B,DOWN,NS,NS,"Secreted Wnt/beta-catenin ligand; regulates proliferation and differentiation in developing tissues, including lung organogenesis."
APP,NS,DOWN,NS,"Amyloid protein precursor; supports outgrowth and synaptogenesis; facilitates neuronal adhesion and regulates intracellular transport for synaptic function."
ITGAV,NS,DOWN,NS,"Integrin subunit; binds matrix proteins (vitronectin, laminin); regulates cell migration, angiogenesis, and tissue differentiation."
NR1H4,NS,DOWN,NS,"Bile acid-activated nuclear receptor; regulates intestinal cell differentiation, metabolic homeostasis, and epithelial barrier integrity."
PRNP,NS,DOWN,NS,"Prion protein; supports synaptic plasticity; maintains the myelin sheath and metal ion homeostasis in neurons."
PTGER3,NS,DOWN,NS,"Prostaglandin E2 receptor (GPCR); supports neuronal function, intercellular signaling, and the fever response."
SLITRK5,NS,DOWN,NS,"Membrane protein; modulates neurite growth and branching; shapes synaptic connections and plasticity via Rho/RAC2 GTPases."
SORT1,NS,DOWN,NS,"Sortilin receptor; regulates neurotrophin transport (proBDNF, proNGFB); supports neuronal differentiation and protein sorting."
TAFA5,NS,DOWN,NS,"Secretory protein; modulates neural cell migration and proliferation; shapes neuronal networks via GPCR signaling."
VEGFA,NS,DOWN,NS,"Vascular growth factor; induces angiogenesis; participates in axonal guidance and neuronal cell body migration."
WNT3,NS,DOWN,NS,"Wnt pathway ligand; essential for gastrulation and mesoderm formation; regulates limb development and embryonic proliferation."
EFNA5,DOWN,DOWN,DOWN,"Eph surface ligand; steers cytoskeletal organization and axonal fasciculation; regulates insulin secretion in pancreatic islets."
GLRA2,DOWN,DOWN,DOWN,"Glycine receptor subunit; mediates neuronal inhibition; essential for synaptic plasticity in the hippocampus and spinal cord."
GRIA4,DOWN,DOWN,DOWN,"AMPA receptor subunit; essential for fast excitatory transmission; regulates synaptic plasticity (LTP/LTD) in the hippocampus."
NRP2,DOWN,DOWN,DOWN,"Semaphorin and VEGF receptor; guides axonal pathways and regulates vascular and lymphatic development."
NTRK2,DOWN,DOWN,DOWN,"BDNF receptor (TrkB); directs synapse formation and neuron survival; activates Ras-MAPK and PI3K-AKT cascades."
UNC5D,DOWN,DOWN,DOWN,"Netrin receptor; performs repulsive functions in axonal guidance; acts as a dependence receptor inducing apoptosis in ligand absence."
CCL2,UP,UP,NS,"Chemotactic chemokine; regulates the inflammatory microenvironment and immune cell infiltration during development."
FTL,UP,UP,NS,"Ferritin light chain; manages iron homeostasis and mobilization; protects proliferating cells from oxidative stress."
PPIA,UP,UP,NS,"Isomerase and molecular chaperone; activates MAPK/ERK pathways and regulates leukocyte adhesion via CD147."
SLC17A8,-,DOWN,NS,"Vesicular glutamate transporter (VGLUT3); essential for excitatory neurotransmission in inner ear sensory synapses."
SLITRK6,-,DOWN,NS,"Membrane protein; regulates neural process growth; essential for sensory cell maturation in auditory and visual systems."
NR3C2,DOWN,-,-,"Mineralocorticoid receptor; regulates ion homeostasis; controls sodium and water transport to maintain osmotic balance."
NTN1,DOWN,-,DOWN,"Netrin-1 axonal guidance factor; coordinates neuronal network architecture via DCC/UNC5 receptors; supports neuron survival."
CD200,-,DOWN,-,"Immunoregulatory glycoprotein; inhibits microglia activity in the nervous system to maintain immune privilege and control inflammation."
SFRP1,NS,NS,UP,"Wnt pathway modulator; exerts anti-proliferative effects; regulates kidney differentiation and retinal photoreceptor polarization."
CRABP1,NS,UP,NS,"Retinoic acid-binding protein; regulates access of RA to nuclear receptors; directs epithelial differentiation and cell fate during organogenesis."
B2M,UP,UP,UP,"MHC class I component; essential for antigen presentation; maintains MHC stability and protein homeostasis."
