Gene Name,HU-ventral,HU-dorsal,YAC-ventral,YAC-dorsal,Functional Description
Acvr1,-,NS,-,UP,Type I serine/threonine kinase receptor; binds TGF-ß/BMP ligands to activate the SMAD1/5/8 pathway; controls developmental gene expression and morphogenesis during embryonic development.
Adgrb1,-,NS,-,UP,Adhesion G protein-coupled receptor (GPCR); inhibits brain angiogenesis and participates in synapse organization; regulates neuronal plasticity and phagocytosis of apoptotic cells.
Adgrg1,-,-,-,UP,Adhesion G protein-coupled receptor (GPCR); activates the RhoA pathway in response to ligand 17-OH; maintains pial basement membrane integrity and supports cortical development and myelination.
Adgrl1,-,NS,-,UP,Neuronal adhesion organizer; controls synapse formation and maturation; regulates neurotransmitter release to support the development of functional brain networks.
Adgrl2,-,NS,UP,UP,Adhesion G protein-coupled receptor (GPCR); controls synaptic connection specificity; promotes hippocampal synapse formation at postsynaptic dendritic spines.
Adgrl3,DOWN,NS,DOWN,UP,"Adhesion G protein-coupled receptor (GPCR); directs glutamatergic synapse formation (e.g., CA3–CA1); supports the development of neuronal networks in the cortex and hippocampus."
Agrn,-,NS,-,UP,Basement membrane glycoprotein; induces dendritic filopodia and synapse formation; regulates Ca2+ homeostasis and synaptic depolarization in the central nervous system.
Aldh1a2,-,NS,-,UP,Aldehyde dehydrogenase enzyme; catalyzes retinoic acid (RA) synthesis; essential for cell differentiation and prevention of neural tube defects.
Aplp2,-,NS,-,UP,Amyloid precursor-like transmembrane protein; participates in synapse organization and plasticity; supports spatial learning processes.
App,-,NS,-,UP,Cell surface receptor and transmembrane protein; promotes neurite outgrowth and axonal development; facilitates neuronal adhesion and synaptogenesis.
Atp6ap2,-,-,-,UP,V-type ATPase accessory protein; participates in endosomal and lysosomal acidification; influences brain development by controlling synapse morphology and transmission.
Axl,-,NS,-,UP,Receptor tyrosine kinase; activates PI3K/AKT and ERK pathways; controls the survival and migration of GnRH neurons and inhibits inflammatory responses.
Bmp6,-,NS,-,UP,TGF-ß family ligand; activates the SMAD1/5/8 pathway; modulates VEGF signaling to participate in cell differentiation and tissue morphogenesis.
Bmpr1a,-,NS,-,UP,Type I serine/threonine kinase receptor; activates the SMAD1/5/8 pathway; controls developmental gene expression to support cell differentiation and BMP-dependent morphogenesis.
